Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gAST.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.056,28.849552,0.4000338,0.39999956,-2.533074e-07,0.39999956,0.9999943,0.9919899,0.9999976,0.99598116
0.058,28.84954,0.4000336,0.39999956,-2.6181738e-07,0.39999956,0.9999943,0.9919899,0.9999976,0.9959812
0.06,28.849531,0.40003338,0.39999956,-2.7027318e-07,0.39999956,0.9999943,0.9919899,0.9999976,0.9959812
0.062,28.849522,0.40003318,0.3999996,-2.7867318e-07,0.3999996,0.9999943,0.9919899,0.9999976,0.9959812
0.064,28.84951,0.40003294,0.3999996,-2.870158e-07,0.3999996,0.9999943,0.9919899,0.9999976,0.9959812
0.066,28.8495,0.40003273,0.3999996,-2.9529957e-07,0.3999996,0.9999943,0.9919899,0.9999977,0.9959812
0.068,28.84949,0.4000325,0.3999996,-3.0352285e-07,0.3999996,0.9999943,0.9919899,0.9999977,0.9959812
0.07,28.84948,0.40003225,0.39999962,-3.116842e-07,0.39999962,0.99999434,0.9919899,0.9999977,0.9959812
0.072,28.84947,0.400032,0.39999962,-3.197821e-07,0.39999962,0.99999434,0.99199,0.9999977,0.9959812
0.074,28.849455,0.40003175,0.39999962,-3.2781506e-07,0.39999962,0.99999434,0.99199,0.9999977,0.9959812
0.076,28.849445,0.4000315,0.39999962,-3.3578164e-07,0.39999962,0.99999434,0.99199,0.9999977,0.9959812
0.078,28.849432,0.40003124,0.39999965,-3.4368034e-07,0.39999965,0.99999434,0.99199,0.9999977,0.9959812
0.08,28.849419,0.40003097,0.39999965,-3.515098e-07,0.39999965,0.99999434,0.99199,0.9999977,0.9959812
0.082,28.849407,0.4000307,0.39999968,-3.592686e-07,0.39999968,0.99999434,0.99199,0.9999977,0.9959812
0.084,28.849394,0.40003043,0.39999968,-3.6695533e-07,0.39999968,0.99999434,0.99199,0.9999977,0.9959812
0.086,28.84938,0.40003014,0.39999968,-3.7456866e-07,0.39999968,0.99999434,0.99199,0.9999977,0.9959812
0.088,28.849367,0.40002987,0.3999997,-3.821072e-07,0.3999997,0.99999434,0.99199,0.9999977,0.9959812
0.09,28.849354,0.40002957,0.3999997,-3.8956964e-07,0.3999997,0.99999434,0.99199,0.9999977,0.9959813
0.092,28.84934,0.40002927,0.39999974,-3.9695468e-07,0.39999974,0.9999944,0.99199,0.9999977,0.9959813
0.094,28.849323,0.40002897,0.39999974,-4.0426102e-07,0.39999974,0.9999944,0.99199003,0.9999977,0.9959813
0.096,28.849308,0.40002865,0.39999974,-4.1148735e-07,0.39999974,0.9999944,0.99199003,0.9999977,0.9959813
0.098,28.849295,0.40002835,0.39999977,-4.1863248e-07,0.39999977,0.9999944,0.99199003,0.9999977,0.9959813
0.1,28.849277,0.40002802,0.39999977,-4.2569513e-07,0.39999977,0.9999944,0.99199003,0.9999977,0.9959813
0.102,28.849264,0.40002772,0.3999998,-4.3267414e-07,0.3999998,0.9999944,0.99199003,0.9999977,0.9959813
0.104,28.849247,0.4000274,0.3999998,-4.3956828e-07,0.3999998,0.9999944,0.99199003,0.9999977,0.9959813
0.106,28.849234,0.40002707,0.39999983,-4.463764e-07,0.39999983,0.9999944,0.99199003,0.99999774,0.9959813
0.108,28.849216,0.40002674,0.39999986,-4.530973e-07,0.39999986,0.9999944,0.99199003,0.99999774,0.9959813
0.11,28.8492,0.40002638,0.39999986,-4.597299e-07,0.39999986,0.9999944,0.99199003,0.99999774,0.9959813
0.112,28.849182,0.40002605,0.3999999,-4.662731e-07,0.3999999,0.99999446,0.99199003,0.99999774,0.9959813
0.114,28.849165,0.40002573,0.3999999,-4.7272576e-07,0.3999999,0.99999446,0.99199003,0.99999774,0.9959813
0.116,28.849148,0.40002537,0.39999992,-4.7908685e-07,0.39999992,0.99999446,0.9919901,0.99999774,0.99598134
0.118,28.84913,0.400025,0.39999995,-4.853553e-07,0.39999995,0.99999446,0.9919901,0.99999774,0.99598134
0.12,28.849113,0.40002465,0.39999995,-4.915301e-07,0.39999995,0.99999446,0.9919901,0.99999774,0.99598134
0.122,28.849096,0.4000243,0.39999998,-4.9761024e-07,0.39999998,0.99999446,0.9919901,0.99999774,0.99598134
0.124,28.849077,0.40002394,0.4,-5.035947e-07,0.4,0.99999446,0.9919901,0.99999774,0.99598134
0.126,28.84906,0.40002358,0.4,-5.094826e-07,0.4,0.99999446,0.9919901,0.99999774,0.99598134
0.128,28.849043,0.4000232,0.40000004,-5.15273e-07,0.40000004,0.99999446,0.9919901,0.99999774,0.99598134
0.13,28.849022,0.40002283,0.40000007,-5.209648e-07,0.40000007,0.99999446,0.9919901,0.99999774,0.99598134
0.132,28.849005,0.40002245,0.40000007,-5.265573e-07,0.40000007,0.9999945,0.9919901,0.99999774,0.99598134
0.134,28.848984,0.4000221,0.4000001,-5.3204957e-07,0.4000001,0.9999945,0.9919901,0.99999774,0.99598134
0.136,28.848965,0.4000217,0.40000013,-5.374407e-07,0.40000013,0.9999945,0.99199015,0.99999774,0.99598134
0.138,28.848948,0.4000213,0.40000015,-5.4272994e-07,0.40000015,0.9999945,0.99199015,0.99999774,0.99598134
0.14,28.848927,0.40002093,0.40000015,-5.479164e-07,0.40000015,0.9999945,0.99199015,0.99999774,0.99598134
0.142,28.848906,0.40002054,0.40000018,-5.529993e-07,0.40000018,0.9999945,0.99199015,0.9999978,0.99598134
0.144,28.848885,0.40002015,0.4000002,-5.5797796e-07,0.4000002,0.9999945,0.99199015,0.9999978,0.9959814
0.146,28.848866,0.40001974,0.40000024,-5.6285154e-07,0.40000024,0.9999945,0.99199015,0.9999978,0.9959814
0.148,28.848845,0.40001935,0.40000027,-5.6761934e-07,0.40000027,0.9999945,0.99199015,0.9999978,0.9959814
0.15,28.848824,0.40001896,0.4000003,-5.7228067e-07,0.4000003,0.9999945,0.99199015,0.9999978,0.9959814
0.152,28.848804,0.40001854,0.4000003,-5.768349e-07,0.4000003,0.9999946,0.99199015,0.9999978,0.9959814
0.154,28.848783,0.40001816,0.40000033,-5.8128126e-07,0.40000033,0.9999946,0.99199015,0.9999978,0.9959814
0.156,28.848763,0.40001774,0.40000036,-5.8561926e-07,0.40000036,0.9999946,0.9919902,0.9999978,0.9959814
0.158,28.848742,0.40001732,0.4000004,-5.898481e-07,0.4000004,0.9999946,0.9919902,0.9999978,0.9959814
0.16,28.848722,0.40001693,0.40000042,-5.9396746e-07,0.40000042,0.9999946,0.9919902,0.9999978,0.9959814
0.162,28.848698,0.40001652,0.40000045,-5.979765e-07,0.40000045,0.9999946,0.9919902,0.9999978,0.9959814
0.164,28.848677,0.4000161,0.40000048,-6.0187483e-07,0.40000048,0.9999946,0.9919902,0.9999978,0.9959814
0.166,28.848658,0.40001568,0.4000005,-6.056619e-07,0.4000005,0.9999946,0.9919902,0.9999978,0.9959814
0.168,28.848633,0.40001526,0.40000054,-6.0933723e-07,0.40000054,0.9999946,0.9919902,0.9999978,0.9959814
0.17,28.848612,0.40001485,0.40000057,-6.129003e-07,0.40000057,0.9999946,0.9919902,0.9999978,0.99598145
0.172,28.848589,0.40001443,0.4000006,-6.163507e-07,0.4000006,0.9999946,0.9919902,0.9999978,0.99598145
0.174,28.848568,0.400014,0.40000063,-6.1968797e-07,0.40000063,0.9999946,0.9919902,0.9999978,0.99598145
0.176,28.848543,0.40001357,0.40000066,-6.229117e-07,0.40000066,0.99999464,0.99199027,0.9999978,0.99598145
0.178,28.848524,0.40001315,0.4000007,-6.260216e-07,0.4000007,0.99999464,0.99199027,0.99999785,0.99598145
0.18,28.8485,0.40001273,0.40000072,-6.2901717e-07,0.40000072,0.99999464,0.99199027,0.99999785,0.99598145
0.182,28.848478,0.4000123,0.40000075,-6.318981e-07,0.40000075,0.99999464,0.99199027,0.99999785,0.99598145
0.184,28.848455,0.40001187,0.40000078,-6.3466416e-07,0.40000078,0.99999464,0.99199027,0.99999785,0.99598145
0.186,28.84843,0.40001145,0.4000008,-6.37315e-07,0.4000008,0.99999464,0.99199027,0.99999785,0.99598145
0.188,28.848408,0.40001103,0.40000087,-6.398504e-07,0.40000087,0.99999464,0.99199027,0.99999785,0.99598145
0.19,28.848387,0.4000106,0.4000009,-6.4227004e-07,0.4000009,0.99999464,0.99199027,0.99999785,0.99598145
0.192,28.848364,0.40001017,0.40000093,-6.4457373e-07,0.40000093,0.99999464,0.99199027,0.99999785,0.99598145
0.194,28.84834,0.40000972,0.40000096,-6.4676124e-07,0.40000096,0.99999464,0.99199027,0.99999785,0.99598145
0.196,28.848314,0.4000093,0.400001,-6.4883244e-07,0.400001,0.99999464,0.99199027,0.99999785,0.99598145
0.198,28.848291,0.40000886,0.40000102,-6.507872e-07,0.40000102,0.99999464,0.9919903,0.99999785,0.9959815
0.2,28.84827,0.40000844,0.40000105,-6.526253e-07,0.40000105,0.99999464,0.9919903,0.99999785,0.9959815
0.202,28.848248,0.40000802,0.4000011,-6.543467e-07,0.4000011,0.9999947,0.9919903,0.99999785,0.9959815
0.204,28.848223,0.40000758,0.40000114,-6.559513e-07,0.40000114,0.9999947,0.9919903,0.99999785,0.9959815
0.206,28.8482,0.40000716,0.40000117,-6.57439e-07,0.40000117,0.9999947,0.9919903,0.99999785,0.9959815
0.208,28.848175,0.4000067,0.4000012,-6.5880977e-07,0.4000012,0.9999947,0.9919903,0.99999785,0.9959815
0.21,28.848152,0.4000063,0.40000123,-6.600636e-07,0.40000123,0.9999947,0.9919903,0.99999785,0.9959815
0.212,28.848127,0.40000585,0.4000013,-6.612005e-07,0.4000013,0.9999947,0.9919903,0.99999785,0.9959815
0.214,28.848103,0.40000543,0.40000132,-6.622205e-07,0.40000132,0.9999947,0.9919903,0.99999785,0.9959815
0.216,28.84808,0.40000498,0.40000135,-6.631236e-07,0.40000135,0.9999947,0.9919903,0.99999785,0.9959815
0.218,28.848055,0.40000457,0.40000138,-6.6391e-07,0.40000138,0.9999947,0.9919903,0.99999785,0.9959815
0.22,28.848032,0.40000412,0.4000014,-6.6457966e-07,0.4000014,0.9999947,0.9919903,0.99999785,0.9959815
0.222,28.848007,0.4000037,0.40000147,-6.651327e-07,0.40000147,0.9999947,0.9919904,0.99999785,0.9959815
0.224,28.847984,0.40000328,0.4000015,-6.6556936e-07,0.4000015,0.9999947,0.9919904,0.9999979,0.9959815
0.226,28.84796,0.40000284,0.40000153,-6.658897e-07,0.40000153,0.9999947,0.9919904,0.9999979,0.9959815
0.228,28.847937,0.40000242,0.4000016,-6.660939e-07,0.4000016,0.9999947,0.9919904,0.9999979,0.9959815
0.23,28.847912,0.400002,0.40000162,-6.6618225e-07,0.40000162,0.9999947,0.9919904,0.9999979,0.9959815
0.232,28.847889,0.4000016,0.40000165,-6.661549e-07,0.40000165,0.9999947,0.9919904,0.9999979,0.9959815
0.234,28.847864,0.40000114,0.40000167,-6.660121e-07,0.40000167,0.9999947,0.9919904,0.9999979,0.9959816
0.236,28.847841,0.40000072,0.40000173,-6.6575416e-07,0.40000173,0.9999947,0.9919904,0.9999979,0.9959816
0.238,28.847816,0.4000003,0.40000176,-6.653813e-07,0.40000176,0.9999947,0.9919904,0.9999979,0.9959816
0.24,28.847794,0.3999999,0.4000018,-6.6489395e-07,0.4000018,0.9999947,0.9919904,0.9999979,0.9959816
0.242,28.847769,0.39999947,0.40000185,-6.642923e-07,0.40000185,0.9999947,0.9919904,0.9999979,0.9959816
0.244,28.847744,0.39999905,0.40000188,-6.635768e-07,0.40000188,0.9999947,0.9919904,0.9999979,0.9959816
0.246,28.847721,0.39999864,0.4000019,-6.627478e-07,0.4000019,0.99999475,0.9919904,0.9999979,0.9959816
0.248,28.847696,0.39999822,0.40000197,-6.618057e-07,0.40000197,0.99999475,0.9919904,0.9999979,0.9959816
0.25,28.847673,0.39999783,0.400002,-6.6075086e-07,0.400002,0.99999475,0.9919904,0.9999979,0.9959816
0.252,28.847649,0.3999974,0.40000203,-6.595838e-07,0.40000203,0.99999475,0.9919904,0.9999979,0.9959816
0.254,28.847626,0.399997,0.4000021,-6.5830494e-07,0.4000021,0.99999475,0.99199045,0.9999979,0.9959816
0.256,28.8476,0.3999966,0.40000212,-6.569147e-07,0.40000212,0.99999475,0.99199045,0.9999979,0.9959816
0.258,28.847578,0.3999962,0.40000215,-6.554137e-07,0.40000215,0.99999475,0.99199045,0.9999979,0.9959816
0.26,28.847553,0.3999958,0.4000022,-6.538024e-07,0.4000022,0.99999475,0.99199045,0.9999979,0.9959816
0.262,28.84753,0.3999954,0.40000224,-6.5208127e-07,0.40000224,0.99999475,0.99199045,0.9999979,0.9959816
0.264,28.847506,0.399995,0.40000227,-6.502509e-07,0.40000227,0.99999475,0.99199045,0.9999979,0.9959816
0.266,28.847485,0.3999946,0.40000233,-6.48312e-07,0.40000233,0.99999475,0.99199045,0.9999979,0.9959816
0.268,28.847462,0.39999422,0.40000236,-6.4626494e-07,0.40000236,0.99999475,0.99199045,0.9999979,0.9959816
0.27,28.847437,0.39999384,0.4000024,-6.441105e-07,0.4000024,0.99999475,0.99199045,0.9999979,0.9959816
0.272,28.847414,0.39999345,0.40000245,-6.4184934e-07,0.40000245,0.99999475,0.99199045,0.9999979,0.9959816
0.274,28.84739,0.39999306,0.40000248,-6.39482e-07,0.40000248,0.99999475,0.99199045,0.9999979,0.9959816
0.276,28.847368,0.39999267,0.4000025,-6.370091e-07,0.4000025,0.99999475,0.99199045,0.9999979,0.9959816
0.278,28.847345,0.3999923,0.40000257,-6.3443156e-07,0.40000257,0.99999475,0.99199045,0.9999979,0.9959816
0.28,28.84732,0.39999193,0.4000026,-6.317499e-07,0.4000026,0.99999475,0.99199045,0.9999979,0.9959816
0.282,28.847301,0.39999154,0.40000263,-6.289649e-07,0.40000263,0.99999475,0.99199045,0.9999979,0.9959816
0.284,28.847277,0.39999118,0.4000027,-6.260774e-07,0.4000027,0.99999475,0.99199045,0.9999979,0.9959816
0.286,28.847256,0.3999908,0.40000272,-6.23088e-07,0.40000272,0.99999475,0.99199045,0.9999979,0.9959816
0.288,28.847233,0.39999044,0.40000275,-6.199976e-07,0.40000275,0.99999475,0.99199045,0.9999979,0.9959816
0.29,28.847208,0.39999008,0.4000028,-6.168069e-07,0.4000028,0.99999475,0.99199045,0.9999979,0.9959816
0.292,28.847189,0.39998972,0.40000284,-6.135169e-07,0.40000284,0.99999475,0.99199045,0.9999979,0.99598163
0.294,28.847164,0.39998937,0.40000287,-6.101282e-07,0.40000287,0.99999475,0.99199045,0.9999979,0.99598163
0.296,28.847143,0.399989,0.4000029,-6.0664183e-07,0.4000029,0.99999475,0.99199045,0.9999979,0.99598163
0.298,28.847124,0.39998868,0.40000296,-6.0305854e-07,0.40000296,0.99999475,0.99199045,0.9999979,0.99598163
0.3,28.8471,0.39998832,0.400003,-5.9937935e-07,0.400003,0.99999475,0.99199045,0.9999979,0.99598163
0.302,28.847078,0.399988,0.40000302,-5.95605e-07,0.40000302,0.9999947,0.99199045,0.9999979,0.99598163
0.304,28.84706,0.39998764,0.40000308,-5.917366e-07,0.40000308,0.9999947,0.99199045,0.9999979,0.99598163
0.306,28.847038,0.3999873,0.4000031,-5.877749e-07,0.4000031,0.9999947,0.9919905,0.9999979,0.99598163
0.308,28.847013,0.39998698,0.40000314,-5.837209e-07,0.40000314,0.9999947,0.9919905,0.9999979,0.99598163
0.31,28.846994,0.39998665,0.4000032,-5.7957567e-07,0.4000032,0.9999947,0.9919905,0.9999979,0.99598163
0.312,28.846973,0.39998633,0.40000322,-5.7534004e-07,0.40000322,0.9999947,0.9919905,0.9999979,0.99598163
0.314,28.846952,0.399986,0.40000325,-5.710151e-07,0.40000325,0.9999947,0.9919905,0.9999979,0.99598163
0.316,28.846931,0.3999857,0.40000328,-5.6660184e-07,0.40000328,0.9999947,0.9919905,0.9999979,0.99598163
0.318,28.846912,0.39998537,0.40000334,-5.621013e-07,0.40000334,0.9999947,0.9919905,0.9999979,0.99598163
0.32,28.846891,0.39998507,0.40000337,-5.575145e-07,0.40000337,0.9999947,0.9919905,0.9999979,0.99598163
0.322,28.84687,0.39998478,0.4000034,-5.528425e-07,0.4000034,0.9999947,0.9919905,0.9999979,0.99598163
0.324,28.846853,0.39998448,0.40000343,-5.4808635e-07,0.40000343,0.9999947,0.9919905,0.9999979,0.99598163
0.326,28.846832,0.39998418,0.4000035,-5.4324715e-07,0.4000035,0.9999947,0.9919905,0.9999979,0.99598163
0.328,28.846813,0.39998388,0.40000352,-5.38326e-07,0.40000352,0.9999947,0.9919905,0.9999979,0.99598163
0.33,28.846796,0.3999836,0.40000355,-5.33324e-07,0.40000355,0.9999947,0.9919905,0.9999979,0.99598163
0.332,28.846775,0.39998332,0.40000358,-5.2824225e-07,0.40000358,0.9999947,0.9919905,0.9999979,0.99598163
0.334,28.846754,0.39998305,0.40000364,-5.230819e-07,0.40000364,0.9999947,0.9919905,0.9999979,0.99598163
0.336,28.846737,0.39998278,0.40000367,-5.178441e-07,0.40000367,0.9999947,0.9919905,0.9999979,0.99598163
0.338,28.846718,0.39998248,0.4000037,-5.125301e-07,0.4000037,0.9999947,0.9919905,0.9999979,0.99598163
0.34,28.8467,0.39998224,0.40000373,-5.071409e-07,0.40000373,0.9999947,0.9919905,0.9999979,0.99598163
0.342,28.846684,0.39998198,0.40000376,-5.016778e-07,0.40000376,0.9999947,0.9919905,0.9999979,0.99598163
0.344,28.846666,0.3999817,0.4000038,-4.961419e-07,0.4000038,0.9999947,0.9919905,0.9999979,0.99598163
0.346,28.846645,0.39998147,0.40000385,-4.9053455e-07,0.40000385,0.99999464,0.9919905,0.9999979,0.99598163
0.348,28.846628,0.3999812,0.40000388,-4.8485686e-07,0.40000388,0.99999464,0.9919905,0.9999979,0.99598163
0.35,28.846611,0.39998096,0.4000039,-4.7911004e-07,0.4000039,0.99999464,0.9919905,0.9999979,0.99598163
0.352,28.846594,0.39998072,0.40000394,-4.7329542e-07,0.40000394,0.99999464,0.9919905,0.9999979,0.99598163
0.354,28.846577,0.39998052,0.40000397,-4.674142e-07,0.40000397,0.99999464,0.9919905,0.9999979,0.9959816
0.356,28.84656,0.39998028,0.400004,-4.614676e-07,0.400004,0.99999464,0.9919905,0.9999979,0.9959816
0.358,28.846542,0.39998004,0.40000403,-4.5545696e-07,0.40000403,0.99999464,0.99199045,0.9999979,0.9959816
0.36,28.846529,0.39997983,0.40000406,-4.493835e-07,0.40000406,0.99999464,0.99199045,0.9999979,0.9959816
0.362,28.846512,0.39997962,0.4000041,-4.4324852e-07,0.4000041,0.99999464,0.99199045,0.9999979,0.9959816
0.364,28.846495,0.3999794,0.40000412,-4.3705333e-07,0.40000412,0.99999464,0.99199045,0.9999979,0.9959816
0.366,28.846481,0.3999792,0.40000415,-4.3079922e-07,0.40000415,0.99999464,0.99199045,0.9999979,0.9959816
0.368,28.846464,0.399979,0.40000418,-4.2448752e-07,0.40000418,0.99999464,0.99199045,0.9999979,0.9959816
0.37,28.84645,0.39997882,0.4000042,-4.1811955e-07,0.4000042,0.99999464,0.99199045,0.9999979,0.9959816
0.372,28.846434,0.3999786,0.40000424,-4.1169665e-07,0.40000424,0.99999464,0.99199045,0.9999979,0.9959816
0.374,28.84642,0.39997843,0.40000427,-4.052201e-07,0.40000427,0.9999946,0.99199045,0.9999979,0.9959816
0.376,28.846407,0.39997825,0.4000043,-3.986913e-07,0.4000043,0.9999946,0.99199045,0.9999979,0.9959816
0.378,28.846392,0.39997807,0.40000433,-3.9211156e-07,0.40000433,0.9999946,0.99199045,0.9999979,0.9959816
0.38,28.846378,0.3999779,0.40000436,-3.8548228e-07,0.40000436,0.9999946,0.99199045,0.9999979,0.9959816
0.382,28.846365,0.39997774,0.4000044,-3.788048e-07,0.4000044,0.9999946,0.99199045,0.9999979,0.9959816
0.384,28.846352,0.3999776,0.40000442,-3.720805e-07,0.40000442,0.9999946,0.99199045,0.9999979,0.9959816
0.386,28.846338,0.39997742,0.40000445,-3.6531074e-07,0.40000445,0.9999946,0.99199045,0.9999979,0.9959816
0.388,28.846325,0.39997727,0.40000448,-3.5849692e-07,0.40000448,0.9999946,0.99199045,0.9999979,0.9959816
0.39,28.84631,0.39997712,0.4000045,-3.516404e-07,0.4000045,0.9999946,0.99199045,0.9999979,0.9959816
0.392,28.846296,0.399977,0.40000454,-3.447426e-07,0.40000454,0.9999946,0.99199045,0.9999979,0.9959816
0.394,28.846287,0.39997685,0.40000454,-3.378049e-07,0.40000454,0.9999946,0.99199045,0.9999979,0.9959816
0.396,28.846273,0.39997673,0.40000457,-3.3082873e-07,0.40000457,0.9999945,0.99199045,0.9999979,0.9959816
0.398,28.846262,0.3999766,0.4000046,-3.2381544e-07,0.4000046,0.9999945,0.99199045,0.9999979,0.9959816
0.4,28.846252,0.3999765,0.40000463,-3.167665e-07,0.40000463,0.9999945,0.99199045,0.9999979,0.9959816
0.402,28.84624,0.39997637,0.40000466,-3.096833e-07,0.40000466,0.9999945,0.99199045,0.9999979,0.9959816
0.404,28.846228,0.39997625,0.40000466,-3.0256723e-07,0.40000466,0.9999945,0.99199045,0.9999979,0.9959816
0.406,28.846218,0.39997616,0.40000468,-2.9541974e-07,0.40000468,0.9999945,0.99199045,0.99999785,0.9959816
0.408,28.846209,0.39997607,0.4000047,-2.8824226e-07,0.4000047,0.9999945,0.99199045,0.99999785,0.9959816
0.41,28.846197,0.39997596,0.40000474,-2.810362e-07,0.40000474,0.9999945,0.99199045,0.99999785,0.9959816
0.412,28.846188,0.39997587,0.40000474,-2.73803e-07,0.40000474,0.9999945,0.9919904,0.99999785,0.9959816
0.414,28.846178,0.3999758,0.40000477,-2.6654408e-07,0.40000477,0.9999945,0.9919904,0.99999785,0.9959816
0.416,28.846167,0.39997572,0.4000048,-2.5926084e-07,0.4000048,0.99999446,0.9919904,0.99999785,0.9959815
0.418,28.84616,0.39997566,0.4000048,-2.519548e-07,0.4000048,0.99999446,0.9919904,0.99999785,0.9959815
0.42,28.84615,0.39997557,0.40000483,-2.446273e-07,0.40000483,0.99999446,0.9919904,0.99999785,0.9959815
0.422,28.84614,0.3999755,0.40000486,-2.3727983e-07,0.40000486,0.99999446,0.9919904,0.99999785,0.9959815
0.424,28.846132,0.39997545,0.40000486,-2.2991381e-07,0.40000486,0.99999446,0.9919904,0.99999785,0.9959815
0.426,28.846127,0.39997542,0.4000049,-2.2253067e-07,0.4000049,0.99999446,0.9919904,0.99999785,0.9959815
0.428,28.846115,0.39997536,0.4000049,-2.1513188e-07,0.4000049,0.99999446,0.9919904,0.99999785,0.9959815
0.43,28.84611,0.39997533,0.40000492,-2.0771883e-07,0.40000492,0.99999446,0.9919904,0.99999785,0.9959815
0.432,28.846102,0.3999753,0.40000492,-2.0029297e-07,0.40000492,0.99999446,0.9919904,0.99999785,0.9959815
0.434,28.846096,0.39997527,0.40000495,-1.9285577e-07,0.40000495,0.9999944,0.9919904,0.99999785,0.9959815
0.436,28.846088,0.39997524,0.40000495,-1.8540861e-07,0.40000495,0.9999944,0.9919904,0.99999785,0.9959815
0.438,28.84608,0.3999752,0.40000498,-1.7795296e-07,0.40000498,0.9999944,0.9919904,0.99999785,0.9959815
0.44,28.846075,0.3999752,0.40000498,-1.7049024e-07,0.40000498,0.9999944,0.9919904,0.99999785,0.9959815
0.442,28.846067,0.39997518,0.400005,-1.6302187e-07,0.400005,0.9999944,0.9919904,0.99999785,0.9959815
0.444,28.846066,0.39997518,0.400005,-1.555493e-07,0.400005,0.9999944,0.9919904,0.99999785,0.9959815
0.446,28.846058,0.39997518,0.40000504,-1.4807392e-07,0.40000504,0.9999944,0.9919903,0.99999785,0.9959815
0.448,28.84605,0.39997518,0.40000504,-1.405972e-07,0.40000504,0.9999944,0.9919903,0.99999785,0.9959815
0.45,28.846048,0.3999752,0.40000504,-1.3312052e-07,0.40000504,0.9999944,0.9919903,0.99999785,0.9959815
0.452,28.846045,0.3999752,0.40000507,-1.2564531e-07,0.40000507,0.99999434,0.9919903,0.99999785,0.99598145
0.454,28.846037,0.39997524,0.40000507,-1.1817299e-07,0.40000507,0.99999434,0.9919903,0.9999978,0.99598145
0.456,28.846033,0.39997527,0.40000507,-1.1070495e-07,0.40000507,0.99999434,0.9919903,0.9999978,0.99598145
